NM_RxnSmiles,coarse_solvent,base,temperature,Yield,parsed_rxn,parsed_reagents,rxn_id,fine_solvent,dataset,exact_solvent,exact_base
CC(C)(C)c1ccc(B(O)O)cc1.CC(C)(C)OC(=O)[C@H](Cc1ccc(-c2ncc(Br)cn2)cc1)NC(=O)OCc1ccccc1>>CC(C)(C)OC(=O)[C@H](Cc1ccc(-c2ncc(-c3ccc(C(C)(C)C)cc3)cn2)cc1)NC(=O)OCc1ccccc1,other,carbonate,20,70.0,[CH3:14][C:15]([CH3:16])([CH3:17])[O:18][C:19](=[O:20])[C@H:21]([CH2:22][c:23]1[cH:24][cH:25][c:26]([cH:34][cH:35]1)-[c:27]1[n:33][cH:32][c:30]([cH:29][n:28]1)[Br:31])[NH:36][C:37](=[O:38])[O:39][CH2:40][c:41]1[cH:42][cH:43][cH:44][cH:45][cH:46]1.[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:13][cH:12][c:8]([cH:7][cH:6]1)[B:9]([OH:10])[OH:11]>>[CH3:14][C:15]([CH3:16])([CH3:17])[O:18][C:19](=[O:20])[C@H:21]([CH2:22][c:23]1[cH:24][cH:25][c:26]([cH:34][cH:35]1)-[c:27]1[n:33][cH:32][c:30]([cH:29][n:28]1)-[c:8]1[cH:12][cH:13][c:5]([cH:6][cH:7]1)[C:2]([CH3:1])([CH3:3])[CH3:4])[NH:36][C:37]([O:39][CH2:40][c:41]1[cH:42][cH:43][cH:44][cH:45][cH:46]1)=[O:38],"",2475,other,train,CC#N.O.C1CCOC1.CCOC(C)=O,O=C([O-])O.[Na+]
OB(O)c1ccccc1.Cn1c(CN2CCC(c3ccccc3F)CC2)nc2ccc(Br)cc21>>Cn1c(CN2CCC(c3ccccc3F)CC2)nc2ccc(-c3ccccc3)cc21,alcoArom,carbonate,20,20.5,[CH2:15]1[CH2:16][CH:17]([CH2:25][CH2:26][N:14]1[CH2:13][c:12]1[n:27][c:28]2[cH:29][cH:30][c:31]([Br:32])[cH:33][c:34]2[n:11]1[CH3:10])[c:18]1[c:23]([cH:22][cH:21][cH:20][cH:19]1)[F:24].[cH:5]1[cH:6][cH:7][cH:8][cH:9][c:4]1[B:2]([OH:1])[OH:3]>>[CH2:15]1[CH2:16][CH:17]([CH2:25][CH2:26][N:14]1[CH2:13][c:12]1[n:11]([CH3:10])[c:34]2[c:28]([cH:29][cH:30][c:31](-[c:4]3[cH:9][cH:8][cH:7][cH:6][cH:5]3)[cH:33]2)[n:27]1)[c:18]1[c:23]([cH:22][cH:21][cH:20][cH:19]1)[F:24],"",3792,alcohols/aromatics,train,CCO.Cc1ccccc1,O=C([O-])O.[Na+]
OB(O)c1ccc(F)cc1Cl.Clc1ccnc2c(Br)csc12>>Fc1ccc(-c2csc3c(Cl)ccnc23)c(Cl)c1,other,phosphate,20,80.1,[Br:19][c:18]1[cH:20][s:21][c:22]2[c:17]1[n:16][cH:15][cH:14][c:13]2[Cl:12].[OH:1][B:2]([OH:3])[c:4]1[c:10]([Cl:11])[cH:9][c:7]([F:8])[cH:6][cH:5]1>>[Cl:11][c:10]1[cH:9][c:7]([cH:6][cH:5][c:4]1-[c:18]1[c:17]2[c:22]([s:21][cH:20]1)[c:13]([cH:14][cH:15][n:16]2)[Cl:12])[F:8],"",2827,other,train,O.C1COCCO1.ClCCl,O=P([O-])([O-])[O-].[K+].[K+].[K+]
COC(=O)c1ccc(B(O)O)cc1.FC(F)(F)Oc1ccc(-n2cnc(Br)n2)cc1>>COC(=O)c1ccc(-c2ncn(-c3ccc(OC(F)(F)F)cc3)n2)cc1,other,carbonate,20,52.25,[F:14][C:15]([F:16])([F:17])[O:18][c:19]1[cH:20][cH:21][c:22]([cH:29][cH:30]1)-[n:23]1[cH:24][n:25][c:26]([Br:27])[n:28]1.[cH:6]1[cH:7][c:8]([cH:12][cH:13][c:5]1[C:3](=[O:4])[O:2][CH3:1])[B:9]([OH:10])[OH:11]>>[F:14][C:15]([F:16])([F:17])[O:18][c:19]1[cH:20][cH:21][c:22]([cH:29][cH:30]1)-[n:23]1[cH:24][n:25][c:26](-[c:8]2[cH:12][cH:13][c:5]([cH:6][cH:7]2)[C:3](=[O:4])[O:2][CH3:1])[n:28]1,"",3374,other,train,O.COCCOC.ClCCl,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1ccncc1.C[Si](C)(C)CCOCn1cnc(-c2sc(I)cc2Br)n1>>C[Si](C)(C)CCOCn1cnc(-c2sc(-c3ccncc3)cc2Br)n1,other,carbonate,20,74.65,[CH3:10][Si:11]([CH3:12])([CH3:13])[CH2:14][CH2:15][O:16][CH2:17][n:18]1[cH:19][n:20][c:21]([n:29]1)-[c:22]1[c:27]([cH:26][c:24]([s:23]1)[I:25])[Br:28].[cH:6]1[cH:5][c:4]([cH:9][cH:8][n:7]1)[B:2]([OH:1])[OH:3]>>[CH3:10][Si:11]([CH3:12])([CH3:13])[CH2:14][CH2:15][O:16][CH2:17][n:18]1[n:29][c:21]([n:20][cH:19]1)-[c:22]1[s:23][c:24]([cH:26][c:27]1[Br:28])-[c:4]1[cH:9][cH:8][n:7][cH:6][cH:5]1,"",2526,other,train,O.CCOC(C)=O.C1COCCO1,O=C([O-])[O-].[Cs+].[Cs+]
CC(C)C(O)(c1ccc(B(O)O)cc1)c1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1.CNC(=O)c1cccc(Br)n1>>CNC(=O)c1cccc(-c2ccc(C(O)(c3cn(C(c4ccccc4)(c4ccccc4)c4ccccc4)cn3)C(C)C)cc2)n1,other,other,20,31.7,[cH:21]1[cH:20][c:19]([cH:24][cH:23][cH:22]1)[C:18]([c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1)([c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1)[n:17]1[cH:16][c:15]([n:38][cH:37]1)[C:4]([CH:2]([CH3:1])[CH3:3])([OH:5])[c:6]1[cH:14][cH:13][c:9]([cH:8][cH:7]1)[B:10]([OH:11])[OH:12].[n:49]1[c:43]([cH:44][cH:45][cH:46][c:47]1[Br:48])[C:41]([NH:40][CH3:39])=[O:42]>>[cH:21]1[cH:20][c:19]([cH:24][cH:23][cH:22]1)[C:18]([c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1)([c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1)[n:17]1[cH:16][c:15]([C:4]([CH:2]([CH3:1])[CH3:3])([OH:5])[c:6]2[cH:14][cH:13][c:9]([cH:8][cH:7]2)-[c:47]2[n:49][c:43]([C:41]([NH:40][CH3:39])=[O:42])[cH:44][cH:45][cH:46]2)[n:38][cH:37]1,"",187,other,train,No Solvent,No Base
OB(O)c1ccccc1.Ic1n[nH]c2cnc(-c3cccnc3)cc12>>c1ccc(-c2n[nH]c3cnc(-c4cccnc4)cc23)cc1,other,carbonate,20,60.1,[cH:21]1[cH:20][cH:19][c:18](-[c:17]2[cH:24][c:25]3[c:11]([n:12][nH:13][c:14]3[cH:15][n:16]2)[I:10])[cH:23][n:22]1.[cH:5]1[cH:6][cH:7][cH:8][cH:9][c:4]1[B:2]([OH:1])[OH:3]>>[cH:5]1[cH:6][cH:7][cH:8][cH:9][c:4]1-[c:11]1[n:12][nH:13][c:14]2[c:25]1[cH:24][c:17]([n:16][cH:15]2)-[c:18]1[cH:23][n:22][cH:21][cH:20][cH:19]1,"",3221,other,train,CCO.COCCOC,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1ccccc1F.CC1CN(C(=O)OC(C)(C)C)Cc2scc(Br)c2O1>>CC1CN(C(=O)OC(C)(C)C)Cc2scc(-c3ccccc3F)c2O1,water/ethers,carbonate,20,95.9,[CH3:19][C:18]([CH3:20])([CH3:21])[O:17][C:15](=[O:16])[N:14]1[CH2:13][CH:12]([CH3:11])[O:29][c:28]2[c:26]([Br:27])[cH:25][s:24][c:23]2[CH2:22]1.[OH:1][B:2]([OH:3])[c:4]1[c:9]([cH:8][cH:7][cH:6][cH:5]1)[F:10]>>[CH3:19][C:18]([CH3:20])([CH3:21])[O:17][C:15](=[O:16])[N:14]1[CH2:22][c:23]2[s:24][cH:25][c:26](-[c:4]3[cH:5][cH:6][cH:7][cH:8][c:9]3[F:10])[c:28]2[O:29][CH:12]([CH2:13]1)[CH3:11],"",2704,water/ethers,train,O.COCCOC,O=C([O-])[O-].[K+].[K+]
OB(O)c1ccccc1.Cc1cc(N2CCCC2)c2ccc(I)cc2n1>>Cc1cc(N2CCCC2)c2ccc(-c3ccccc3)cc2n1,other,other,20,57.0,[CH2:15]1[CH2:16][CH2:17][CH2:18][N:14]1[c:13]1[cH:12][c:11]([CH3:10])[n:26][c:25]2[cH:24][c:22]([I:23])[cH:21][cH:20][c:19]12.[cH:5]1[cH:6][cH:7][cH:8][cH:9][c:4]1[B:2]([OH:1])[OH:3]>>[cH:6]1[cH:5][c:4]([cH:9][cH:8][cH:7]1)-[c:22]1[cH:24][c:25]2[n:26][c:11]([CH3:10])[cH:12][c:13]([c:19]2[cH:20][cH:21]1)[N:14]1[CH2:18][CH2:17][CH2:16][CH2:15]1,"",330,other,train,COCCOC.C1COCCO1.ClCCl,No Base
Cn1nccc1B(O)O.FC(F)(F)Oc1ccc(OCc2ccccc2)c(Br)c1>>Cn1nccc1-c1cc(OC(F)(F)F)ccc1OCc1ccccc1,water/ethers,phosphate,20,70.0,[F:10][C:11]([F:12])([F:13])[O:14][c:15]1[cH:16][cH:17][c:18]([O:19][CH2:20][c:21]2[cH:26][cH:25][cH:24][cH:23][cH:22]2)[c:27]([cH:29]1)[Br:28].[OH:8][B:7]([OH:9])[c:6]1[n:2]([n:3][cH:4][cH:5]1)[CH3:1]>>[F:10][C:11]([F:12])([F:13])[O:14][c:15]1[cH:16][cH:17][c:18]([c:27]([cH:29]1)-[c:6]1[n:2]([CH3:1])[n:3][cH:4][cH:5]1)[O:19][CH2:20][c:21]1[cH:26][cH:25][cH:24][cH:23][cH:22]1,"",1643,water/ethers,train,O.C1COCCO1,O=P([O-])([O-])[O-].[K+].[K+].[K+]
CCS(=O)(=O)Nc1ccc(Oc2ccc(F)cc2F)c(B(O)O)c1.Cc1cc(Br)cn(CC2CC2)c1=O>>CCS(=O)(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cc(C)c(=O)n(CC3CC3)c2)c1,water/ethers,phosphate,20,28.700000000000003,[CH2:34]1[CH2:35][CH:33]1[CH2:32][n:31]1[c:36]([c:26]([CH3:25])[cH:27][c:28]([Br:29])[cH:30]1)=[O:37].[O:4]=[S:3](=[O:5])([CH2:2][CH3:1])[NH:6][c:7]1[cH:24][c:20]([c:10]([O:11][c:12]2[c:18]([F:19])[cH:17][c:15]([cH:14][cH:13]2)[F:16])[cH:9][cH:8]1)[B:21]([OH:22])[OH:23]>>[CH2:34]1[CH2:35][CH:33]1[CH2:32][n:31]1[cH:30][c:28](-[c:20]2[cH:24][c:7]([cH:8][cH:9][c:10]2[O:11][c:12]2[c:18]([F:19])[cH:17][c:15]([cH:14][cH:13]2)[F:16])[NH:6][S:3](=[O:4])(=[O:5])[CH2:2][CH3:1])[cH:27][c:26]([c:36]1=[O:37])[CH3:25],"",2938,water/ethers,train,O.C1COCCO1,O=P([O-])([O-])[O-].[K+].[K+].[K+]
OB(O)c1ccccc1.CCC(C)c1ccc(-n2c(-c3ccc(Br)nc3)nc3ccccc3c2=O)cc1>>CCC(C)c1ccc(-n2c(-c3ccc(-c4ccccc4)nc3)nc3ccccc3c2=O)cc1,ethers,carbonate,20,34.05,[cH:16]1[cH:15][c:14]([cH:37][cH:36][c:17]1-[n:18]1[c:19](-[c:20]2[cH:26][n:25][c:23]([Br:24])[cH:22][cH:21]2)[n:27][c:28]2[cH:29][cH:30][cH:31][cH:32][c:33]2[c:34]1=[O:35])[CH:12]([CH2:11][CH3:10])[CH3:13].[cH:5]1[cH:6][cH:7][cH:8][cH:9][c:4]1[B:2]([OH:1])[OH:3]>>[cH:5]1[cH:6][cH:7][cH:8][cH:9][c:4]1-[c:23]1[cH:22][cH:21][c:20]([cH:26][n:25]1)-[c:19]1[n:27][c:28]2[cH:29][cH:30][cH:31][cH:32][c:33]2[c:34](=[O:35])[n:18]1-[c:17]1[cH:16][cH:15][c:14]([cH:37][cH:36]1)[CH:12]([CH2:11][CH3:10])[CH3:13],"",2772,ethers,train,COCCOC,O=C([O-])[O-].[Na+].[Na+]
CS(=O)(=O)c1ccc(B(O)O)cc1.CC(C)(C)OC(=O)N1CCC(COc2ccc(Br)nc2)CC1>>CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3ccc(S(C)(=O)=O)cc3)nc2)CC1,water/ethers,carbonate,20,58.25,[CH3:14][C:15]([CH3:16])([CH3:17])[O:18][C:19]([N:21]1[CH2:35][CH2:34][CH:24]([CH2:23][CH2:22]1)[CH2:25][O:26][c:27]1[cH:33][n:32][c:30]([cH:29][cH:28]1)[Br:31])=[O:20].[cH:6]1[cH:7][c:8]([cH:12][cH:13][c:5]1[S:2](=[O:3])(=[O:4])[CH3:1])[B:9]([OH:10])[OH:11]>>[CH3:14][C:15]([CH3:16])([CH3:17])[O:18][C:19]([N:21]1[CH2:35][CH2:34][CH:24]([CH2:23][CH2:22]1)[CH2:25][O:26][c:27]1[cH:33][n:32][c:30](-[c:8]2[cH:12][cH:13][c:5]([cH:6][cH:7]2)[S:2](=[O:3])(=[O:4])[CH3:1])[cH:29][cH:28]1)=[O:20],"",1601,water/ethers,train,O.COCCOC,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1ccccc1.COc1ccc(CNC(=O)c2ccc(Br)nc2)cc1OC>>COc1ccc(CNC(=O)c2ccc(-c3ccccc3)nc2)cc1OC,polar,carbonate,20,40.6,[CH3:10][O:11][c:12]1[c:28]([cH:27][c:15]([CH2:16][NH:17][C:18](=[O:19])[c:20]2[cH:26][n:25][c:23]([cH:22][cH:21]2)[Br:24])[cH:14][cH:13]1)[O:29][CH3:30].[cH:5]1[cH:6][cH:7][cH:8][cH:9][c:4]1[B:2]([OH:1])[OH:3]>>[cH:5]1[cH:6][cH:7][cH:8][cH:9][c:4]1-[c:23]1[cH:22][cH:21][c:20]([C:18]([NH:17][CH2:16][c:15]2[cH:14][cH:13][c:12]([O:11][CH3:10])[c:28]([O:29][CH3:30])[cH:27]2)=[O:19])[cH:26][n:25]1,"",2026,amides,train,CN(C)C=O,O=C([O-])[O-].[Cs+].[Cs+]
OB(O)c1ccc(Cl)cc1.Brc1ccc2c(c1)nc(-c1ccccc1)n2-c1ccccc1>>Clc1ccc(-c2ccc3c(c2)nc(-c2ccccc2)n3-c2ccccc2)cc1,ethers,carbonate,20,83.45,[OH:1][B:2]([OH:3])[c:4]1[cH:10][cH:9][c:7]([cH:6][cH:5]1)[Cl:8].[cH:21]1[cH:22][cH:23][cH:24][cH:25][c:20]1-[c:19]1[n:18][c:16]2[cH:17][c:12]([cH:13][cH:14][c:15]2[n:26]1-[c:27]1[cH:32][cH:31][cH:30][cH:29][cH:28]1)[Br:11]>>[cH:28]1[cH:29][cH:30][cH:31][cH:32][c:27]1-[n:26]1[c:19](-[c:20]2[cH:25][cH:24][cH:23][cH:22][cH:21]2)[n:18][c:16]2[cH:17][c:12](-[c:4]3[cH:10][cH:9][c:7]([cH:6][cH:5]3)[Cl:8])[cH:13][cH:14][c:15]12,"",1193,ethers,train,COCCOC,O=C([O-])[O-].[Na+].[Na+]
COc1cccc(B(O)O)c1.Brc1cccc(-n2c3ccc(-c4ccccc4)cc3c3cc(-c4ccccc4)ccc32)c1>>COc1cccc(-c2cccc(-n3c4ccc(-c5ccccc5)cc4c4cc(-c5ccccc5)ccc43)c2)c1,other,carbonate,20,85.4,[OH:9][B:8]([OH:10])[c:7]1[cH:11][c:3]([cH:4][cH:5][cH:6]1)[O:2][CH3:1].[cH:24]1[cH:25][cH:26][cH:27][cH:28][c:23]1-[c:22]1[cH:29][c:30]2[c:31]3[cH:32][c:33](-[c:34]4[cH:35][cH:36][cH:37][cH:38][cH:39]4)[cH:40][cH:41][c:42]3[n:18]([c:19]2[cH:20][cH:21]1)-[c:17]1[cH:16][cH:15][cH:14][c:13]([Br:12])[cH:43]1>>[cH:25]1[cH:24][c:23]([cH:28][cH:27][cH:26]1)-[c:22]1[cH:29][c:30]2[c:31]3[cH:32][c:33]([cH:40][cH:41][c:42]3[n:18]([c:19]2[cH:20][cH:21]1)-[c:17]1[cH:43][c:13](-[c:7]2[cH:11][c:3]([cH:4][cH:5][cH:6]2)[O:2][CH3:1])[cH:14][cH:15][cH:16]1)-[c:34]1[cH:35][cH:36][cH:37][cH:38][cH:39]1,"",3146,other,train,CCO.Cc1ccccc1.O.ClCCl,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.CCOC(=O)c1ccc(Br)o1>>CCOC(=O)c1ccc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)o1,alcoArom,carbonate,20,37.8,[F:8][C:7]([F:9])([F:10])[c:6]1[cH:5][c:4]([cH:17][c:12]([C:13]([F:16])([F:14])[F:15])[cH:11]1)[B:2]([OH:1])[OH:3].[O:20]([C:21](=[O:22])[c:23]1[cH:24][cH:25][c:26]([Br:27])[o:28]1)[CH2:19][CH3:18]>>[F:8][C:7]([F:9])([F:10])[c:6]1[cH:5][c:4]([cH:17][c:12]([C:13]([F:16])([F:14])[F:15])[cH:11]1)-[c:26]1[o:28][c:23]([cH:24][cH:25]1)[C:21]([O:20][CH2:19][CH3:18])=[O:22],"",2387,water/aromatics,train,c1ccccc1.O,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1ccccc1.Brc1cc2c(I)nn(C3CCCCO3)c2cn1>>Brc1cc2c(-c3ccccc3)nn(C3CCCCO3)c2cn1,other,other,20,82.535,[CH2:22]1[O:23][CH:18]([CH2:19][CH2:20][CH2:21]1)[n:17]1[c:24]2[c:13]([c:14]([n:16]1)[I:15])[cH:12][c:11]([Br:10])[n:26][cH:25]2.[cH:5]1[cH:6][cH:7][cH:8][cH:9][c:4]1[B:2]([OH:1])[OH:3]>>[cH:5]1[cH:6][cH:7][cH:8][cH:9][c:4]1-[c:14]1[c:13]2[c:24]([n:17]([CH:18]3[O:23][CH2:22][CH2:21][CH2:20][CH2:19]3)[n:16]1)[cH:25][n:26][c:11]([cH:12]2)[Br:10],"",3223,other,train,ClCCl.CC#N,"O=C([O-])[O-].[K+].[K+],CC(=O)[O-].[Na+],CC(=O)[O-].[K+],O=C([O-])[O-].[Na+].[Na+]"
